Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0107845425844135,-0.142447918607034,-0.00419433105634964,0,0,0,0.28,0.00428227718676599,7.56023828320183E-06,9.14996846504774E-06,0.00137485448183489,8.63391596716759E-06,0.00385649886773093,0,0,0,0,0,0,package://robok/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robok/meshes/base_link.STL,,body_train^train_robot-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hipyaw,-0.0107845425844135,-0.142447918607034,-0.00419433105634965,0,0,0,0.28,0.00428227718676599,7.56023828320177E-06,9.14996846504773E-06,0.00137485448183489,8.63391596716771E-06,0.00385649886773093,0,0,0,0,0,0,package://robok/meshes/left_hipyaw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robok/meshes/left_hipyaw.STL,,hip_roll_train-2,Origin_hipyawl,Axis_hipyawl,hipyawl,revolute,-0.0052029,0.026891,-0.019657,1.5708,0,-1.5695,base_link,0,1,0,10,12,-0.784,0.784,,,,,,,,
left_hiproll,-0.0107845425844135,-0.142447918607034,-0.00419433105634964,0,0,0,0.28,0.00428227718676599,7.56023828320181E-06,9.14996846504773E-06,0.00137485448183489,8.63391596716706E-06,0.00385649886773093,0,0,0,0,0,0,package://robok/meshes/left_hiproll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robok/meshes/left_hiproll.STL,,hip_train-2,Origin_hiprolll,Axis_hiprolll,hiprolll,revolute,-0.048775,-0.063842,0,-3.1406,1.5708,3.1415,left_hipyaw,1,0,0,10,0.784,-0.784,0.784,,,,,,,,
left_hippitch,-0.0107845425844135,-0.142447918607034,-0.00419433105634964,0,0,0,0.28,0.00428227718676599,7.56023828320189E-06,9.14996846504771E-06,0.00137485448183489,8.63391596716754E-06,0.00385649886773093,0,0,0,0,0,0,package://robok/meshes/left_hippitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robok/meshes/left_hippitch.STL,,LinkII_train-2,Origin_hippitchl,Axis_hippitchl,hippitchl,revolute,-0.0089572,-0.043273,0,0,0,-0.59366,left_hiproll,0,0,1,10,12,-0.784,0.784,,,,,,,,
left_anklepitch,-0.0107845425844135,-0.142447918607034,-0.00419433105634964,0,0,0,0.28,0.00428227718676599,7.56023828320183E-06,9.14996846504774E-06,0.00137485448183489,8.63391596716759E-06,0.00385649886773093,0,0,0,0,0,0,package://robok/meshes/left_anklepitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robok/meshes/left_anklepitch.STL,,linkI_train-2,Origin_anklepitchl,Axis_anklepitchl,anklepitchl,revolute,0.0046502,-0.087559,0,0,0,0.25743,left_hippitch,0,0,1,10,12,-0.784,0.784,,,,,,,,
left_foot,-0.0107845425844135,-0.142447918607034,-0.00419433105634964,0,0,0,0.28,0.00428227718676599,7.56023828320183E-06,9.14996846504773E-06,0.00137485448183489,8.63391596716688E-06,0.00385649886773093,0,0,0,0,0,0,package://robok/meshes/left_foot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robok/meshes/left_foot.STL,,foot_train-2,Origin_footl,Axis_footl,footl,revolute,0.080808,-0.057712,0,0,0,0.34904,left_anklepitch,0,0,1,10,12,-0.784,0.784,,,,,,,,
right_hipyaw,-0.0107845425844135,-0.142447918607034,-0.00419433105634964,0,0,0,0.28,0.00428227718676599,7.5602382832018E-06,9.14996846504773E-06,0.00137485448183489,8.63391596716771E-06,0.00385649886773093,0,0,0,0,0,0,package://robok/meshes/right_hipyaw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robok/meshes/right_hipyaw.STL,,hip_roll_train-1,Origin_hipyawr,Axis_hipyawr,hipyawr,revolute,-0.0048992,-0.018108,-0.019657,1.5708,0,1.5708,base_link,0,1,0,10,12,-0.784,0.784,,,,,,,,
right_hiproll,-0.0107845425844135,-0.142447918607034,-0.00419433105634964,0,0,0,0.28,0.00428227718676599,7.56023828320184E-06,9.14996846504774E-06,0.00137485448183489,8.63391596716753E-06,0.00385649886773093,0,0,0,0,0,0,package://robok/meshes/right_hiproll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robok/meshes/right_hiproll.STL,,hip_train-1,Origin_hiprollr,Axis_hiprollr,hiprollr,continuous,-0.048775,-0.063842,0,3.1349,-1.5708,0,right_hipyaw,1,0,0,10,12,-0.784,0.784,,,,,,,,
right_hippitch,-0.0107845425844135,-0.142447918607034,-0.00419433105634964,0,0,0,0.28,0.00428227718676599,7.56023828320189E-06,9.14996846504771E-06,0.00137485448183489,8.63391596716754E-06,0.00385649886773093,0,0,0,0,0,0,package://robok/meshes/right_hippitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robok/meshes/right_hippitch.STL,,LinkII_train-1,Origin_hippitchr,Axis_hippitchr,hippitchr,revolute,-0.01048,-0.043273,0,0,0,-0.59125,right_hiproll,0,0,1,10,12,-0.784,0.784,,,,,,,,
right_anklepitch,-0.0107845425844135,-0.142447918607034,-0.00419433105634964,0,0,0,0.28,0.00428227718676599,7.56023828320183E-06,9.14996846504774E-06,0.00137485448183489,8.63391596716754E-06,0.00385649886773093,0,0,0,0,0,0,package://robok/meshes/right_anklepitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robok/meshes/right_anklepitch.STL,,linkI_train-1,Origin_anklepitchr,Axis_anklepitchr,anklepitchr,revolute,0.0046502,-0.087559,0,0,0,0.24642,right_hippitch,0,0,1,10,12,-0.784,0.784,,,,,,,,
